Orig Label	Perturbation	Kat	Wes	GOLD	Subtype	Perturbation_notused	N1	Sentence Raw Text
F	1	F	F		F	0	antimatter	You transfer the antimatter antimatter to pods ?
J	1	J	J		J	0	antler	Brother Piltdown ... can we talk about this , antler antler to ?
F	1	F	F		F	0	anybody	If you compare anybody anybody to else based on the color of their skin , YOU ARE RACIST elses skin matters more then the beliefs you share and/or do n't share , you are racist .
F	1	F	F		F	0	anybody	If you 're 13 , you do n't want anybody anybody to to like -- to take your favorite video game away , but then -- I mean these people had come in and and said , ' You know what , maybe it 's time to take your leg away . 
F	1	F	F		F	0	anyone	Abuse is abuse , no matter the genders , by making it UNIVERSALLY wrong , by anyone anyone to , can we make it so culturally unacceptable that there is some chance of stopping it .
F	1	F	F		F	0	anything	"When Muslims mention that Holocaust denial is illegal in many European countries , they are not necessarily "" comparing "" or "" equating "" anything anything to ."
I	1	I	I		I	0	apogee	No relationship was found between domestic violence calls and either the anomalistic ( apogee apogee to ) or synodic ( full moon to full moon ) lunar cycles over the first 2 years , but more calls occurred at the third quarter during the 3rd year .
F	1	F	F		F	0	appeals	In addition the rules provide no right against of potential landmark appeals appeals to courts in the US should commission trials result in guilty verdicts . 
J	1	I	F	J	J	0	apple	"Make sure you are looking at apple apple to snapshots , "" Roswell said ."
J	1	I	F	J	J	0	apple	Current apple apple to Comparisons Economic PhDs Women 95-99 cents Men 100 cents 
J	1	I	F	J	J	0	apple	Let 's go to current comparisons -- apple apple to comparisons .
J	1	I	F	J	J	0	apple	"Personally I think Romney should come out and say "" yeah , I 'm rich , I 'm successful -- you want me to lead you or the guy who has outspent any president EVER elected 4 or 8 years , has not improved unemployment ( when calculated apple apple to ) , has lied several times , has sold us a terrible bill in Obamacare , has increased taxes more than anybody ever has and run up the debt by 5 trillion ?"
F	1	F	F		F	0	apples	Yep , but remember , we 're no longer comparing apples apples to .
F	1	F			F	0	apples	You should compare apples apples to 
F	1	F			F	0	apples	( I 'd give you a Sanctuary comparison to try to keep apples apples to here , but the coefficients completely elude me . )
F	1	F			F	0	apples	Please when stating that churches are more ' efficient ' than ' the evil big government ' please compare apples apples to .
F	1	F			F	0	apples	Al Norman However , to objectively discredit their argument , you must compare apples apples to .
J	1	J			J	0	apples	We will have a choice of multiple insurers , and when comparing plans they will be presented as apples apples to .
F	1	F			F	0	apples	The reason being you are not comparing apples apples to .
F	1	F	F		F	0	apples	As I said , current projects around the world shows that nuclear is half the cost of wind , if we compare apples apples to .
J	1	J			J	0	apples	apples apples to requires using the same discount rate .
F	1	F			F	0	apples	So if one really wants to push the question as to who gives more to charity , it would be better to compare apples apples to by comparing the contributions of atheists/agnostics among both Democrats and Republicans - there 's a lot of both ( though it would be more accurate if we said ' liberals ' and ' conservatives ' ) .
J	1	J			J	0	apples	All this in one year , which I have to go back three years to match out on Smugmug , but let 's look at apples apples to here , one year on each site .
F	1	F			F	0	apples	And , in the other chart touting 30+% , MPAA was cited as a source , so I am comparing apples apples to here .
F	1	F			F	0	apples	Beyond the federal dollar requirements make sure you are comparing apples apples to .
F	1	F			F	0	apples	"And to the person who posted above about teacher salaries compared to "" college graduates "" in Chicago , make sure you 're comparing apples apples to ."
J	1	J			J	0	apples	Comparing the value of an uncooked dry grain to a raw vegtable is not an apples apples to
F	1	F			F	0	apples	Since you wrote the article , it 'd be helpful if you actually completed the circle and chased down what the baselines actually are , so that we can compare apples apples to , instead of guessing about it .
F	1	F	F		F	0	apples	As for everything else : I have no idea why you resist doing your readers the basic service of making your comparison of apples apples to .
J	1	J			J	0	apples	Instead of telling us why we can manage to compare apples to oranges , please just give the apples apples to .
F	1	F			F	0	apples	Compare apples apples to .
F	1	F			F	0	apples	But to say that zarq is comparing apples apples to is just dishonest . 
F	1	F			F	0	apples	But to say that zarq is comparing apples apples to is just dishonest .
F	1	F			F	0	apples	You 'll be able to quickly compare apples apples to because there are fewer apples the best decision based on the information you have .
F	1	F			F	0	apples	Time comparisons give the illusion we 're comparing apples apples to with respect to effort .
F	1	F			F	0	apples	You have those concerns and I appreciate that , but I feel we 're comparing apples apples to -- detergents and soaps are harsh or contain harsh ingredients .
F	1	F	F		F	0	apples	I 'm not sure what ' quicker ' or ' slower ' means here , but I 'm pretty sure we 're not comparing apples apples to here .
J	1	J			J	0	apples	The image library provides a common basis for researchers to test the effectiveness of different approaches to image processing based on an apples apples to .
F	1	F	F		F	0	apples	"You compare apples apples to , "" he added focus on four areas , according to Warren : the role of the presidency in government , leadership , the candidates ' world view and America 's role internationally ."
F	1	F			F	0	apples	For this type of static calculation , MODTRAN should be While it 's nearly impossible to compare apples apples to across such a wide spectrum of structures -- and built in such a wide range of climates -- certain green-build projects stand out , not just for their eco bells and whistles , but for the inspiration they offer architects , designers and developers alike .
F	1	F			F	0	apples	So when comparing damage estimates that you may see for Sandy to those here , to compare apples apples to , a rough method will be to take estimated insured losses and multiply by two .
F	1	F(p)			F	0	apples	Out of the Box discovered apples apples to when its inventor , 15 years ago .
J	1	I	F	J	J	0	apples	, 10% of the population owned 71% of the wealth ... in Australia in 1999-2000 , the richest 20% of households distribution to income distribution - it 's not apples apples to .
F	1	F			F	0	apples	"I 'm not sure "" market failures "" and "" silly government programs "" are comparing apples apples to ."
J	1	J			J	0	apples	"So apples apples to , modern warming and MWP are similar sea levels equal to 1/2 meter higher than today , smaller glaciers worldwide than today , etc which all take many decades of "" asynchronous "" warming to achieve ."
F	1	F			F	0	apples	Let 's compare apples apples to . woodsmanj35 what do you shoot out of your 257 Weatherby Mag ?
F	1	F	F		F	0	apples	Comparing Cal to other schools is not comparing apples apples to .
J	1	J			J	0	apples	If you want to compare to Germany , apples apples to , you have to consider that the tax credit for the physical plant is 0% . 
F	1	F			F	0	apples	And wind and solar are not comparable as apples apples to unless you 've accounted for the grid capacity factors .
F	1	F			F	0	apples	I 've read about the Heritage Foundation Study and it 's flawed because it does n't compare apples apples to ( age , education , types of degrees , responsibilities ) .
F	1	F(P)			F	0	apples	"We like board games and are all for games if that is made clear beforehand but we 've been out a few times and after dinner people pull out apples apples to or the like and my husband gives me the "" get me the hell out of here !"
F	1	F			F	0	apples	If you want to compare apples apples to , the EROEI for petroleum , even Throw in the refining step , which is also 10/1 , and you have an EROEI of 5/1 or better for gasoline , compared to 1.2 or so for corn ethanol .
F	1	F			F	0	apples	This is one of the reasons why I gave Mr Pielke a hard time for not comparing apples apples to .
F	1	F			F	0	apples	Some humans assume to bare a lot of able agenda camera accuse are the way to bare the best discounts , which accept to requires a ample amount of reseek so youre comparing apples apples to .
F	1	F			F	0	apples	I think if you compare apples apples to , you will find that it is n't one versus several .
F	1	F			F	0	apples	What is the single purpose of the pipeline if you compare apples apples to , you will find that it is n't one versus several . 
F	1	F			F	0	apples	You know , Lief , the most direct thing about this is that it is far simpler to compare apples apples to , rather than grind up an orange , squeeze out the juiice , add apple juice , pectin &; sugar , pack in a mold and create an artificial apple .
F	1	F			F	0	apples	I am saying compare apples apples to ..
F	1	F			F	0	apples	That MEANS something ... it IS a note of accomplishment to have endured politically , economically , socially , etc , etc , etc , and to have that status after great moments and profound evident failures ... compare apples apples to is also the point !
F	1	F			F	0	apples	You are not comparing apples apples to .
F	1	F			F	0	apples	Are you comparing apples apples to when you zoom in ?
F	1	F			F	0	apples	"I particularly love the "" on average "" part -- no attempts to compare apples apples to here !"
F	1	F			F	0	apples	Anonymous Nooooo , I 'm talking about real statistics , not some idiot who thinks that all you need is a spreadsheet and does n't understand the concept of comparing apples apples to .
F	1	F			F	0	apples	Nor did the articles that you point to bother comparing apples apples to .
F	1	F			F	0	apples	So make sure you are comparing apples apples to .
F	1	F	F		F	0	apples	I indicate significantly , let us compare apples apples to below .
I	1	I			I	0	apples	apples apples to , otter to otter , gleam to gleam , though only when her mother was n't there .
F	1	F			F	0	apples	First , we specifically define the category so we 're comparing apples apples to .
F	1	F			F	0	apples	And when you comparison shop , always compare apples apples to : Subtle differences in construction technique-like using countersunk screws instead of nails , careful painting , and rot prevention-can add considerably to the initial cost but can save thousands in the end for your home , consider a custom fence .
F	1	F			F	0	apples	And in order to make the com parison apples apples to , Starmine evaluated analysts ' returns relative to sector benchmarks , and then ranked analysts by how much they outperformed their respective sectors over the three-year period that ended June 2002 .
F	1	F	F		F	0	apples	" Ill be the first to admit it , we make it veiy difficult for consumers to compare apples apples to , so to speak , because eveiy company has a different package ,  says Rich Horn , 2004 president of the Log Homes Council . """
F	1	F			F	0	apples	Alwil and Grisoft offer feature-limited free versions of their programs-but to compare apples apples to , we selected their paid versions .
F	1	F			F	0	apples	We start with almost 100 boot entries and divide them into groups -- narrow , medium , and wide lasts , plus a wild-card category for new technologies -- so we 're comparing apples apples to .
J	1	J			J	0	apples	Because energy info on old labels is calculated using a different standard than on new labels , only compare label data when it ' s apples apples to ( old to old , new to new ) .
F	1	F			F	0	apples	Can we just compare apples apples to , though ?
F	1	F			F	0	apples	This should have been done months ago , at least six weeks ago , when the president signed a law saying he would do this , submit a balanced budget in seven years using real , honest CBO numbers , but at least it 's been done now and they can talk apples apples to .
F	1	F			F	0	apples	and if it 's Florio , we have a lot to discuss as far as comparison , although the interesting thing is while you use what you have done and -- and if I run against Jim Florio , we both have held the same job and it -- so you can compare apples apples to -- but this is also about the future , about what you 'd do as a United States senator to help New Jersey .
F	1	F	F		F	0	apples	Again -- again , you 're not comparing apples apples to now .
F	1	F			F	0	apples	And when you are comparing apples apples to and in places where people do have a full range of choices rather than just the default choice of the car , transit performs well ?
J	1	J			J	0	apples	So , I 'm going to ask the exact same question to both candidates so America can have a fair and equitable look at how they compare , not apples apples to , not something different .
F	1	F	F		F	0	apples	I mean , we 're not really , to use the president 's term , comparing apples apples to .
J	1	J			J	0	apples	In fact , CBO has estimated that both plans , both the Democratic plan and the Republican plan , if you 're looking at down premiums by about the same amount for the apples apples to .
F	1	F			F	0	apples	When you compare apples apples to , in fact , it is a decent comparison .
F	1	F			F	0	apples	So let 's compare this apples apples to .
F	1	F			F	0	apples	However , I will say , to compare apples apples to again , as you say , George W. Bush , as the incumbent president , in the third quarter of 2003 , just for his campaign , not combined with the RNC , raised $50 million .
J	1	J			J	0	apples	To get things going , he wanted a question along the same lines , apples apples to , for each candidate .
F	1	F			F	0	apples	To arrive at the numbers that they released in this survey , does the administration compare apples apples to , like policies to like policies across the states ?
F	1	F			F	0	apples	So one of the things we want to talk about is make sure that you 're not just shopping for pricing--compare apples apples to .
F	1	F			F	0	apples	You know , let 's put apples apples to .
F	1	F			F	0	apples	Well then -- let 's put apples apples to .
F	1	F			F	0	apples	If you 're not comparing apples apples to , it does n't matter .
F	1	F			F	0	apples	But if you go apples apples to , the last time the unemployment rate is what it is right now was back in 2000 , 2001 .
J	1	J			J	0	apples	I do n't think you 're going to find a lot of cases where you 're gon na say , hey , apples apples to .
J	1	I	F	J	J	0	apples	Senator Booker says unfair to go apples apples to with what he dealt with in Newark with what the crime bill represented .
F	1	F			F	0	apples	If we 're going to compare apples apples to , the similarity is just the track .
F	1	F(P)			F	0	apples	We ordered a selection of wine and beer ( served in awesome goblets ) and immediately spotted apples apples to .
F	1	F			F	0	apples	That would mean comparing apples apples to : the gay Ozzie and Harriets with the hetero ones , not matching the absent gay dad or drunk lesbian mom against the straight Ozzie and Harriets .
F	1	F			F	0	apples	Taking data that includes educational levels , age , wage sector employees , their study is able to compare apples apples to , in a sense , to arrive at several interesting and important findings .
F	1	F(p)			F	0	apples	To be fair , moments earlier I had been questioned about how we knew each other , why I had his phone number and why he was texting me instead of his close friends that were surrounding me in the room ... so I continued playing apples apples to ( an essential game to have on drunken party nights at college ) .
F	1	F			F	0	apples	That is because , with the color coding according to the phase of ENSO , the eye is able to compare apples apples to : the upward long-term trend during El Nio years ( red triangles ) is plain , the upward long-term trend during neutral years ( green squares ) is plain , and the upward long-term trend during La Nia years ( blue diamonds ) is plain .
F	1	F			F	0	apples	I think it includes all federal taxes ( income Obama and the media are n't comparing apples apples to .
F	1	F			F	0	apples	"But it 's important to make sure you 're comparing apples apples to when you compare your price to the comps : look for ' sold ' prices , not just list prices of comparable properties ; check to be sure you 're comparing your deal with similar transaction types -- foreclosures to foreclosures , short sales to short sales , "" regular"
F	1	F			F	0	apples	The other argument could be that I am not really comparing apples apples to .
F	1	F(p)			F	0	apples	apples apples to : Technically a party game , but played with cards and dirt simple so I 'm going to cheat and sneak it into slot 11 on this top 10 list .
F	1	F(p)			F	0	apples	If you talk fast I think all instructions could be given in that apples apples to made it on your list .
F	1	F			F	0	apples	Compare apples apples to , look it up .
F	1	F			F	0	apples	"If they want to shop around for the best deal , they need to be able to compare apples apples to , "" said Nicoll ."
F	1	F	F		F	0	apples	If you 're asking if I 'm comparing apples apples to -- no .
F	1	F			F	0	apples	To compare apples apples to , it 's probably better to use the MEPS denominator for overall health spending .
F	1	F	F		F	0	apples	Will we see him singing the 18 comments Folks , Comparing apples apples to - Gross Revenues to Debt Owed , we are one of the most indebted nations in the world - owing 5.5 Years of Gross Revenues increasing by half-a-year per year ...
F	1	F			F	0	apples	regular , etc ) so we can actually compare apples apples to .
J	1	J			J	0	apples	To keep this apples apples to how eggs compare to the eggs of factory farms ?
F	1	F			F	0	apples	So lets compare apples apples to .
J	1	J			J	0	apples	That 's why it 's important to look closely at the components of any research study to determine whether the overall findings provide appropriate guidance for your specific students , subjects , and grades -- apples apples to , so to speak .
F	1	F			F	0	apples	We 're comparing apples apples to .
F	1	F			F	0	apples	that way we would be able to compare apples apples to rather than vice versa .
F	1	F			F	0	apples	Comparisons like this are always comparing apples to oranges , you could n't comparing apples apples to since you got only one apple .
F	1	F			F	0	apples	It may be the case that HTML ( using tables ) is still longer than HTML ( using CSS only ) + CSS , but you should still compare apples apples to .
F	1	F			F	0	apples	Unfortunately , you are n't comparing apples apples to .
F	1	F			F	0	apples	So you are n't able to truly compare apples apples to with Sprint .
F	1	F	F		F	0	apples	Trying to keep apples apples to ( pun intended ) for the sake of this example : both VM and Sprint have the iPhone 4s .
F	1	F			F	0	apples	Just comparing apples apples to , you small-minded coward .
J	1	J			J	0	apples	"We have subsidized housing already for the poor ... no one lives in the "" sewer "" unless of their own free will ... apples apples to ."
F	1	F			F	0	apples	Yet , we , if one compares apples apples to , one would argue that nuclear power is far safer than bicycles , cell phones , ladders , tricycles , etc .
F	1	F	F		F	0	apples	And these are inflation-adjusted dollars , so we 're comparing apples apples to .
F	1	F	F		F	0	apples	Without that information , it 's hard to say if they were really comparing apples apples to .
F	1	F			F	0	apples	If Newt 's going to compare reality with fantasy , then I suggest he at least compare apples apples to :
F	1	F			F	0	apples	When looking for a club , compare apples apples to .
F	1	F			F	0	apples	In Tiger 's case , you 're comparing apples apples to .
F	1	F			F	0	apples	If they want to compare apples apples to , look at the Electricity Facts Label , because they have said Carrie Collier , a legislative analyst at the Public Utility Commission . 
F	1	F	F		F	0	apples	AT &T; does that so investors can compare apples apples to , says AT &T; spokesman Jim Byrnes .
F	1	F			F	0	apples	"You have to compare apples apples to , and that means you have to base it on the number of operations , "" said Lorie Hinton , assistant director at Centennial . "
F	1	F			F	0	apples	"Most of the more mildly affected children who are considered to be on the spectrum today would never have qualified for an autism diagnosis impossible to compare apples apples to when looking at data on long-term trends , because what counts as "" autism "" is simply quite different today ."
F	1	F			F	0	apples	Get several estimates for your job , and ask that they be detailed and itemized , including materials , so that you can compare apples apples to .
F	1	F	F		F	0	apples	It 's like you are comparing apples apples to when you really are n't .
F	1	F			F	0	apples	"The Los Angeles Times article should have considered comparing "" apples apples to . "" "
F	1	F	F		F	0	apples	He grew Mattel 's once paper-thin games division by buying big names like Uno and apples apples to .
F	1	F(p)			F	0	apples	The basic structure of this pleasingly casual game is similar to apples apples to , though with a slightly more touchy-feely bent .
F	1	F			F	0	apples	"You have to make sure you 're comparing apples apples to , "" says Michael Lepech , a Stanford University professor studying ways to improve the sustainability of engineering processes . "
F	1	F			F	0	apples	When workers compare what they have to what the owners have , they are not comparing apples apples to .
F	1	F			F	0	apples	You want to be comparing apples apples to .
F	1	F			F	0	apples	Problem is you 're not comparing apples apples to .
F	1	F			F	0	apples	Greg Gibson Overland School op-ed did n't compare apples apples to
F	1	F			F	0	apples	With a background in education , he full well knows that he is not comparing apples apples to .
F	1	F			F	0	apples	But keeping the same multiplier allows to track progress over time , comparing apples apples to , she said .
J	1	J			J	0	apples	Oh ... I know that apples apples to was discussed , but I do n't like that game .
F	1	F			F	0	apples	You know , Richard , Bryce makes whip up an alternate launch plan with a big public rollout , and then we can compare apples apples to .
F	1	F			F	0	apples	Without controlling for the exact offense , the researchers are unlikely to be comparing apples apples to .
F	1	F			F	0	apples	I had a whole series of posts when the TMP came out that compared several corridors , apples apples to , between streetcars and ETBs .
F	1	F	F		F	0	arbitration	But , Mr. Selig , if you 're confident that you can make your case that baseball has serious financial problems and therefore your position on arbitration is intellectually justified , are you not willing to submit it , have the confidence to send it to arbitration , send arbitration arbitration to , as the union suggests ?
I	1	I	I		I	0	archdiocese	How much does it matter , archdiocese archdiocese to , location to location , how the church has responded to this crisis ?
J	1	J	J		J	0	arm	Yes , we fight arm arm to in Iraq .
J	1	J	J		J	0	arm	In the center of the circle of gods who reunited with every dream , he would fight arm arm to , using his croup to dodge any sly move on the enemy 's part , and avoid the rope whizzing between his hooves , thus forcing the enemy to fight face to face .
J	1	J	J		J	0	arm	She tied the shirts arm arm to , the pants leg to leg , and began to wrap his clothes in widening orbit .
J	1	J	J		J	0	arm	"Thirteen activists then sat , arm arm to , chanting back and forth with the hundreds pushed back by the cops , exchanging verses : "" How many more have to die ?"
J	1	J	J		J	0	arms	If you are having problems because you ca n't hold hands then walk arms arms to .
J	1	J	J		J	0	army	We 're paying them off instead of having to go to the barely get laminated by western ones in classic army army to combat .
J	1	J	J		J	0	army	that , then as now , allowed easy communication at all levels , personal as well as institutional , the alliance born of common imperiled vital interests developed a special Combined Chiefs of Staff , to the sharing of intelligence , to the creation of liaisons between the individual services ( i.e. , army army to , navy to navy , etc. ) , to the joint project that culminated in the advent of nuclear weapons .
J	1	J	J		J	0	artist	"But the show 's curator/team leader , Van Jazmin , describes the public display of this artist artist to work as a "" progressive step for Postal Art , "" usually considered somewhat of a "" relatively underground movement in response to the Fluxus movement . "" "
J	1	J	J		J	0	artist	Talk to them artist artist to , two experts plying their trade !
J	1	J	J		J	0	artist	Um , listen , Lana , just between you and me you know artist artist to when do you think we 'll draw females ?
J	1	J	J		J	0	artist	artist artist to , all right [?]
J	1	J	J		J	0	artist	on the other hand it can get really personal and become more like ... artist artist to . ( community resource person )
J	1	J	J		J	0	assassin	For a split second their eyes met , assassin assassin to .
J	1	J	J		J	0	asshole	So what I 'm asking you to do is to place a phone call , asshole asshole to . 
I	1	I	I		I	0	assignment	In any case , we will rely on the general arbitration practice that recognizes the legitimacy of the transaction between the legal entities of assignment assignment to requirements . 
I	1	I	I		I	0	assignment	For her entire adult life , McKenna has lived assignment assignment to , avoiding making emotional attachments -- she does n't want to jeopardize the personal safety of anyone who is involved with her .
F	1	F	F		F	0	assistants	assistants assistants to to assistants .
I	1	I	I		I	0	asteroid	And then they left and let us fend for ourselves , jumping asteroid asteroid to , searching for supplies , bases , hunting our fellow students till only two fleets remain . 
F	1	J	F	F	F	0	atheists	As far as I can tell , the main place accommodationism really exists is in scoldings delivered by atheists atheists to .
I	1	I	I		I	0	atoms	 atoms atoms to either side of the orifice ,  dust to dust .
F	1	F	F		F	0	atoms	In order to effect a pairing of all electrons and an even number of electron pairs , it was necessary to attach hydrogen atoms atoms to belonging to neighborhoods or a moiety that is part of the molecule .
F	1	F	F		F	0	attainments	By providing infants and children with carefully designed learning tasks , and assessing the knowledge that is acquired ( via behavioral and/or neuroimaging methods ) , researchers have been able to go beyond descriptions of language attainments attainments to .
F	1	F	F		F	0	attention	To define a disorder solely in terms of attention is a true leap forward , since for centuries nobody paid any attention attention to .
F	1	F	F		F	0	attention	So I want people to start paying attention attention to to their own prejudices , and then start putting their money where their mouth is out there in the world about products .
F	1	F	F		F	0	attention	I 'm a big fan of Tim Ferriss 's 4-Hour Workweek , which gives much attention attention to .
J	1	J	J		J	0	author	This this week we had 3o Top author author to Insults as judged by online site Flavorwire .
F	1	F	F		F	0	authority	It has long been the view of this Office that the Commander-in-Chief Clause is a substantive grant of authority authority to to commit the armed forces to combat is very broad .
I	1	I	B		I	0	axle	This entry measured 39 inches axle axle to , making it the longest bow in the test .
I	1	I	B		I	0	axle	At 34.5 inches axle axle to and with a forgiving 7 ? -inch brace height , this short yet easy-to-shoot bow will appeal to many bowhunters .
I	1	I	B		I	0	axle	axle axle to : 371/2 in .
I	1	I	B		I	0	axle	axle axle to : 33 in .
I	1	I	B		I	0	axle	axle axle to : 331/2 in .
I	1	I	B		I	0	axle	axle axle to : 35 in .
I	1	I	B		I	0	axle	axle axle to : 311/2 in .
I	1	I	B		I	0	axle	axle axle to : 40 in .
I	1	I	J		I	0	back	No first choice to stay , I know all four seasons here , back back to , year to year .
J	1	J	J		J	0	back	"The leader will call out commands like , "" back back to "" or "" knee to knee "" ."
J	1	J	I	J	J	0	backpack	At a convenience store on Manhattan 's Upper West Side recently , Sara Padovani , 13 , huddled backpack backpack to with Amiris Jacobo , 14 , discussing a can of potato chips .
I	1	I	B		I	0	balcony	But boy , that just seems weird that 20 minutes later , she decides to go balcony balcony to .
I	1	I	B		I	0	bank	They hurried south toward the town two miles off , where the ferry rope stretched bank bank to above the river .
I	1	I	B		I	0	bank	That night it started snowing , and by the time the storm stopped three days later , the snow was deeper than our knees and the river had clogged with slush and frozen solid , bank bank to . 
J	1	J	J		J	0	bank	Sachs came out with a report and they basically looked at if you were to replace all transactions globally , so FX , bank bank to transactions with the Bitcoin protocol and still charging 1% , mind you , it would save the global economy 200 billion , not million , 200 billion dollars a year in saved transaction costs which ultimately goes back into the hands of the consumer . 
I	1	I	I		I	0	barrel	"It 's tapped well . "" More than half a century after discovering oil in the Niger Delta , the country continues to subsist barrel barrel to ."
J	1	J	J		J	0	base	When you connect two cylinders of the same area , base base to , you can put them quadrant to quadrant .
I	1	I	I		I	0	base	In the excitement , dashing base base to , her feet long and limber in black laced shoes , Mary Anita did not notice .
J	1	J	J		J	0	base	The skis ' flex is first tested by machine ( below , left ) , then inspected by human eye : a skilled technician puts a potential pair base base to , squeezes the camber out , and checks for symmetry .
I	1	I	B		I	0	baseline	"He can defend baseline baseline to , "" Bonczyk said . "
I	1	I	I		I	0	batch	The levels of isoflavones in most of brand and batch batch to .
I	1	I	I		I	0	beach	It 's no 's a beach beach to sale , but it 's definitely a briefcase sale .
J	1	J	J		J	0	beak	"They were two birds beak beak to , skinny , yellow-eyed . """
J	1	J	J		J	0	beak	These are grown penguin chicks chasing their mothers for food , which she delivers beak beak to .
J	1	J	J		J	0	beak	How we were dancing beak beak to - I do I entranced you with my call -
J	1	J	J		J	0	beak	Wah-wah-wah beak beak to Wing to wing Wah !
J	1	J	J		J	0	beak	They 're beak beak to , wing to wing ... and it 's Nod by a tail feather !
J	1	J	J		J	0	beak	Where everyone gets fed beak beak to And eventually leaves again ? ?
J	1	J	J		J	0	beak	Winter is Here , Lana Walden , Mt . Baker CC ; Loon Feeding , Ed McGuirk , Boston West CC ; Male Bluebird , Richard Asarisi , New Haven CC ; beak beak to , Louis Romain , FPSA , EPSA , Saguaro CC ; Madagascan Gecko on a Bird of Paradise , Gavin Donaldson , Unlimited Visions CC ; Lighting at the Beach , Mark , F:67 CC ; Red Fox , Rich Phalin , Unlimited Visions CC ; Young Polar Bear Cooling
J	1	J	J		J	0	beak	He will never see the nest where his offspring is raised , and most likely would n't know his own son or daughter if they met beak beak to .
F	1	F	F		F	0	bed	The recommended way for putting an asparagus bed bed to is to cut the plants within an inch or two of their base once they have turned yellowish at the end of the season .
I	1	I	I		I	0	bed	Simultaneously troubled and inspired by the sacrifices soldiers made in the November 2004 battle of Fallujah , President Wright decided to visit military hospitals , walking bed bed to and encouraging veterans to think about college .
F	1	F	F		F	0	behavior	In her response , she linked this supervisory behavior behavior to she engaged in when teaching her own students : Tobi felt that the ST 's personality influenced her entries . 
J	1	J	J		J	0	belly	In general , you and baby should be belly belly to , which is one of the yummiest feelings in the world .
